word,plural,wortart description,herkunft description
word,plural,wortart description,herkunft description
Computer,die Computer,"Substantiv, maskulin","englisch computer, zu: to compute = (be)rechnen < lateinisch computare, "
word,plural,wortart description,herkunft description
Abalone,die Abalonen,"Substantiv, feminin","englisch abalone, zu gleichbedeutend spanisch (nordamerikanisch) abulones, Plural von: abulón, aus einer Indianersprache des südöstlichen Nordamerika"
word,plural,wortart description,herkunft description
word,plural,wortart description,herkunft description
Logical,die Logicals,"Substantiv, Neutrum","zu englisch logical = logisch, wohl gebildet nach "
Log-in,die Log-ins,"Substantiv, Neutrum, oder Substantiv, maskulin","englisch login, zu: to log in = sich anmelden"
Logo,die Logos,"Substantiv, maskulin, oder Substantiv, Neutrum","englisch logo, gekürzt aus: logotype, zu griechisch lógos () und englisch type, "
Log-out,die Log-outs,"Substantiv, Neutrum, oder Substantiv, maskulin","englisch logout, zu: to log out = sich abmelden"
Loha,die Lohas (meist im Plural),"Substantiv, maskulin","Kurzwort aus englisch ifestyle f ealth nd ustainability = Lebensstil für Gesundheit und Nachhaltigkeit"
